Id,X,Y,Z,year,distance_rtk_m
1300_5,205702.659,608300.251,0.869,2025,1345.1457553664393
1350,205703.412,608293.787,0.859,2025,1351.6242193171413
1350_1,205703.083,608285.858,0.845,2025,1359.5444748679436
1350_2,205703.497,608276.953,0.886,2025,1368.4562189166181
1350_3,205703.558,608267.791,0.894,2025,1377.6174662222068
1350_4,205703.433,608258.15,0.818,2025,1387.2537443691879
1350_5,205703.345,608250.182,0.847,2025,1395.2182223933792
1350_6,205703.173,608245.63,0.817,2025,1399.765750060089
1400,205702.892,608240.937,0.854,2025,1404.452115967557
1400_1,205702.891,608232.234,0.839,2025,1413.1533590642493
1400_2,205703.485,608224.356,0.883,2025,1421.0416992206092
1400_3,205703.971,608216.624,0.847,2025,1428.7820005358276
1400_4,205704.551,608203.536,0.792,2025,1441.8791839199791
1400_5,205705.036,608194.153,0.789,2025,1451.2702640710631
1400_6,205705.279,608186.596,0.815,2025,1458.8307024279054
1400_7,205705.52,608177.845,0.78,2025,1467.5848379758947
1400_8,205705.833,608167.113,0.794,2025,1478.3210557366356
1400_9,205706.111,608161.361,0.811,2025,1484.0776603472746
1400_10,205706.428,608152.34,0.759,2025,1493.1033696676693
1500,205706.715,608143.861,0.756,2025,1501.5865715693305
1500_1,205706.873,608136.015,0.743,2025,1509.4341554461773
1500_2,205706.47,608128.199,0.753,2025,1517.2398339912575
1500_3,205706.42,608126.437,0.717,2025,1519.000395976502
1500_4,205706.57,608118.856,0.74,2025,1526.5828745615847
1500_5,205706.857,608110.76,0.718,2025,1534.683115949202
1500_6,205707.242,608102.53,0.694,2025,1542.919411007715
1500_7,205707.546,608094.105,0.678,2025,1551.348967388364
1500_8,205707.982,608085.909,0.668,2025,1559.5524156162255
1500_9,205708.251,608077.96,0.684,2025,1567.5053625746662
1500_10,205708.544,608070.225,0.675,2025,1575.2448853694184
1500_11,205708.749,608062.344,0.639,2025,1583.128476269843
1500_12,205708.719,608054.436,0.642,2025,1591.0339858007903
1500_13,205708.703,608046.473,0.649,2025,1598.9948102858345
1600,205708.457,608038.761,0.627,2025,1606.6998444336514
1600_1,205708.531,608030.654,0.609,2025,1614.8066042598562
1600_2,205708.552,608022.365,0.599,2025,1623.094220433371
1600_3,205708.731,608014.016,0.587,2025,1631.4451379949228
1600_4,205709.045,608005.763,0.575,2025,1639.7029089199405
1600_5,205709.042,608004.511,0.486,2025,1640.954569353068
1600_6,205709.059,608003.367,0.347,2025,1642.0986740473372
1600_7,205709.073,608002.581,0.288,2025,1642.8847947140407
1600_8,205709.086,608000.945,0.263,2025,1644.5207070994252
1600_9,205709.003,607998.526,0.279,2025,1646.9374386970396
1600_10,205709.387,607995.213,0.271,2025,1650.257772389616
1650,205709.885,607992.565,0.346,2025,1652.9157596910227
1650_1,205710.131,607990.568,0.393,2025,1654.9175817104883
1650_2,205709.458,607982.495,0.508,2025,1662.9744507327814
1650_3,205708.883,607974.47,0.56,2025,1670.985808674059
1650_4,205708.695,607966.395,0.571,2025,1679.0553062163685
1650_5,205708.828,607958.732,0.546,2025,1686.7194284065706
1650_6,205708.716,607952.432,0.561,2025,1693.0158919097792
1700,205708.934,607948.482,0.537,2025,1696.9694783989476
1700_1,205708.874,607941.263,0.466,2025,1704.1858144451483
1700_2,205709.389,607933.206,0.483,2025,1712.251554300015
1700_3,205709.517,607925.781,0.474,2025,1719.677623725643
1700_4,205709.949,607918.176,0.464,2025,1727.2898358561574
1700_5,205710.17,607910.541,0.442,2025,1734.9277583099251
1700_6,205710.501,607902.527,0.45,2025,1742.9468627896556
1700_7,205710.66,607894.855,0.432,2025,1750.6205101430528
1750,205710.721,607892.009,0.432,2025,1753.4671627501295
1750_1,205711.344,607884.441,0.436,2025,1761.0464469652832
1750_2,205711.894,607876.227,0.462,2025,1769.2701802375252
1750_3,205712.68,607868.623,0.495,2025,1776.889196146627
1750_4,205713.299,607861.275,0.491,2025,1784.2488687596303
1750_5,205713.489,607853.183,0.459,2025,1792.3430874756264
1750_6,205713.852,607845.082,0.515,2025,1800.45008392212
1800,205714.076,607839.994,0.486,2025,1805.5417732659691
1800_1,205713.951,607831.968,0.503,2025,1813.5631173742127
1800_2,205714.002,607823.903,0.522,2025,1821.6273188963228
1800_3,205714.29,607816.268,0.532,2025,1829.2667765424837
1800_4,205714.655,607808.549,0.519,2025,1836.9919077811442
1800_5,205715.073,607800.872,0.489,2025,1844.6762401314777
1800_6,205715.125,607798.814,0.468,2025,1846.7348863946177
1850,205715.215,607790.643,0.534,2025,1854.9058861514131
1850_1,205715.746,607782.734,0.539,2025,1862.824692417271
1850_2,205716.133,607774.751,0.518,2025,1870.814332077329
1850_3,205716.381,607766.952,0.513,2025,1878.616927331766
1850_4,205716.656,607760.057,0.496,2025,1885.5163590664788
1850_5,205716.727,607751.689,0.457,2025,1893.8838479896974
1850_6,205717.169,607742.976,0.417,2025,1902.60457574737
1850_7,205717.318,607735.885,0.415,2025,1909.6971328828406
1850_8,205717.414,607727.341,0.405,2025,1918.241130805689
1850_9,205717.697,607722.695,0.319,2025,1922.8923246543081
1850_10,205718.035,607713.878,0.372,2025,1931.7147121008877
1850_11,205718.279,607705.854,0.375,2025,1939.742180902243
1850_12,205718.788,607697.699,0.372,2025,1947.9066565454793
1850_13,205719.083,607689.692,0.357,2025,1955.9183114579077
1970,205719.257,607684.628,0.374,2025,1960.9849703905138
1970_1,205719.795,607679.362,0.398,2025,1966.261981433925
1970_2,205719.998,607677.807,0.316,2025,1967.821278264526
1970_3,205720.224,607674.987,0.305,2025,1970.6457825671675
1970_4,205720.781,607671.731,0.321,2025,1973.9139744299603
1970_5,205720.794,607663.612,0.373,2025,1982.0310222625683
1970_6,205720.931,607655.938,0.35,2025,1989.7061213704058
1970_7,205720.908,607648.193,0.336,2025,1997.4484506898975
1970_8,205720.881,607639.31,0.346,2025,2006.328401241072
1970_9,205720.776,607631.31,0.382,2025,2014.323813555958
1970_10,205720.726,607623.687,0.393,2025,2021.943634672683
1970_11,205720.333,607615.765,0.341,2025,2029.8545925624787
1970_12,205720.097,607608.168,0.426,2025,2037.4443287137085
1970_13,205719.992,607605.132,0.379,2025,2040.4772115377016
1970_14,205719.654,607596.738,0.396,2025,2048.8616217086737
1970_15,205719.729,607588.724,0.454,2025,2056.8753253155382
1970_16,205719.561,607580.861,0.417,2025,2064.732743455832
1970_17,205719.159,607573.284,0.452,2025,2072.2992300647256
1970_18,205719.22,607569.663,0.423,2025,2075.920703600496
1970_19,205719.555,607561.54,0.466,2025,2084.0490435055854
1970_20,205719.739,607553.789,0.489,2025,2091.802210197456
2100,205719.764,607551.584,0.476,2025,2094.007234884959
2100_1,205719.814,607543.7,0.477,2025,2101.89047534325
2100_2,205720.149,607536.108,0.496,2025,2109.4879425056392
2100_3,205720.326,607528.288,0.411,2025,2117.3099417139556
2100_4,205720.576,607520.459,0.319,2025,2125.142521815906
2100_5,205720.682,607516.906,0.242,2025,2128.696985688686
2100_6,205720.699,607515.126,0.13,2025,2130.4769351768964
2100_7,205720.602,607514.377,0.121,2025,2131.223656388243
2100_8,205720.506,607513.398,0.108,2025,2132.2003521092356
2100_9,205720.453,607512.349,0.114,2025,2133.247964818404
2100_10,205720.815,607504.498,0.208,2025,2141.104952312966
2100_11,205720.977,607497.171,0.264,2025,2148.43374224559
2150,205721.105,607493.597,0.277,2025,2152.0096764092696
2150_1,205721.853,607485.193,0.324,2025,2160.4279958852817
2150_2,205722.642,607477.156,0.32,2025,2168.4804780697614
2150_3,205723.409,607469.524,0.328,2025,2176.127753021945
2150_4,205724.358,607461.744,0.356,2025,2183.92733380179
2150_5,205725.325,607454.502,0.388,2025,2191.1897757125294
2200,205725.414,607451.793,0.387,2025,2193.9001152589003
2200_1,205724.675,607443.794,0.368,2025,2201.8798836133983
2200_2,205724.406,607435.723,0.354,2025,2209.942657010922
2200_3,205723.997,607427.42,0.337,2025,2218.234333067533
2200_4,205723.519,607419.171,0.299,2025,2226.4706713872397
2200_5,205723.164,607411.385,0.244,2025,2234.2470099231664
2200_6,205722.98,607403.602,0.153,2025,2242.0241757976564
2250,205722.989,607397.162,0.06,2025,2248.4628666773733
2250_1,205722.205,607389.295,-0.049,2025,2256.31133715934
2250_2,205721.624,607381.82,-0.152,2025,2263.7725297658253
2250_3,205720.777,607375.053,-0.266,2025,2270.5207129899845
2250_4,205720.354,607367.723,-0.401,2025,2277.840694939913
2250_5,205719.958,607359.61,-0.565,2025,2285.9442115012926
2250_6,205719.672,607352.322,-0.676,2025,2293.2251799094647
2300,205719.685,607347.603,-0.767,2025,2297.9435328992527
